titles,category
 신평      만난다고 갈등 해소 안돼   한계 보완할 인물 많다  정치쇼 ,Politics
민주       서천 만남  맹폭  화재 현장이 정치쇼 소품인가 ,Politics
참여연대 민변 출신 김남근 변호사  민주당  총선 인재    호,Politics
정영환 공관위원장  줄세우기 공천 계파 공천 구태 끊어내겠다 ,Politics
 마이웨이  김경율  사퇴 안 해 김 여사  입장 밝혀야 ,Politics
민주   년만에 당 로고 변경  민주당 은 크게  더불어 는 작게,Politics
 에     굽힌 한동훈 서천 화재현장서 갈등 봉합 제스처,Politics
 한동훈  서천 화재 방문후 상경 취재진 질의응답 현장연결 ,Politics
  법무장관에 박성재 지명  한동훈 조우하며 후임 인선,Politics
국민의힘   정치쇼  민주 비판에  무도함 넘어 비정 ,Politics
 카페 사장도 중대법 처벌  결국 못피한다 여야는 네탓 공방만,Economic
대형마트  새벽배송 은 e커머스 지도를 바꿀수 있을까,Economic
대세는 AI반도체    글로벌AI반도체 ETF  연초 이후 수익률  위  투자    ,Economic
저축은행 등 금융회사  온투업체 투자 허용된다,Economic
KB증권  엔씨소프트 목표가   신작 성과 부진 ,Economic
비트코인    이상 급락   만    달러도 붕괴 위험,Economic
시몬스  시급    만원  겨울잠 알바 에  만명 몰렸다,Economic
올해  상장 호  우진엔텍   따따블  직행,Economic
 깜짝 실적  거둔 넷플릭스  라이브 스트리밍으로 발 넓힌다 종합 ,Economic
지난해 상장사 자사주 소각규모      셀트리온 자사주 취득 최대,Economic
세종시 대중교통 이용객 수  코로나 이전 수준 추월,Social
대법  환경오염 피해   개연성 만 입증하면 배상 책임 인정 ,Social
 오늘자 기후동행카드 다 팔렸어요  서울 시청역 오전 완판,Social
 압구정 롤스로이스 사망 사고  가해자  심 징역   년  보 ,Social
 출생부터 돌봄 교육 공공이 책임   부산형 통합돌봄  추진,Social
 남친에    차례 찔렸는데  우발적  숨진 딸 공개한 유족의 울분 사반 제보 ,Social
 모든 저출생 정책 소득기준 폐지  서울시의회  저출생 방안 제시,Social
    년부터 소방공무원 채용 체력시험 전면 개편 남녀 동일 기준 평가,Social
 사흘째 대설특보  광주 전남      폭설에 안전사고 잇따라,Social
강원 청소년올림픽서  콘돔  배부 논란  학부모 반발,Social
서울  영하   도  오늘도 꽁꽁 충청 전라 제주 폭설 오늘날씨  종합 ,Culture
 전국 꽁꽁 한파특보 충청 호남 내일까지 많은 눈 날씨 ,Culture
셀린 송 감독  패스트 라이브즈   아카데미 작품상 각본상 후보,Culture
유인촌 장관   웹툰계 넷플릭스  만들겠다 종주국 입지 굳혀야 ,Culture
모레까지 한파 계속 호남 제주에 많은 눈,Culture
 체감온도 최저    도 밑돌아      한파 추위  이어져 내일 날씨 ,Culture
JW신약  포트폴리오 확대로 국내 클리닉 시장 선도,Culture
한 달에 한 번만 마셔도  숙면 방해하는 이 음료,Culture
하마스 보건부  이스라엘  탱크로 칸유니스 병원 공격 ,World
    예멘 후티 반군 겨냥 두 번째 공습  반드시 응징 ,World
NYT  트럼프  뉴햄프셔 승리      개표 상황   p차 헤일리에 우세  보 ,World
 미스일본 된 귀화 우크라 여성에  시끌   살때부터 살았다 ,World
 영상  중국 신장자치구 규모     강진     여진 속 구조 작업 진행 중,World
지구 종말까지 남은 시간   초 지난해와 똑같이 사상 최단,World
투표 불참 독려하는  가짜 바이든  목소리   수사 착수,World
일본 군마현   강제동원 조선인 추도비    일부터 철거 통보,World
러 크렘린궁  푸틴  월 대선 이전 방북 가능성 작아,World
 어떤 신발 살까   나이키 매장 안가도 네이버AI가 직원처럼 답해준다,IT
월    만건 고객 목소리  LGU  전 직원이 확인 업무에 적용,IT
삼성SDS  올해 사이버 보안 최대 화두는 AI 악용한 위협 ,IT
KT  경로당 등 IPTV에 실시간 버스 정보 제공,IT
갤럭시 S    사전예약  일 만에 인도 판매 신기록,IT
 중국 게임 규제 취소 낙관 일러 국내 업체 영향 제한적 ,IT
키 체중 골 결정력까지 축구선수 영입도 생성 AI로,IT
세계적 뇌과학자 김대수 KAIST 교수   수면장애  정복 나섰다,IT
